#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Jan 30, 2022 - Feb 5, 2022"
#=================================================================


##############################################
# iTrade
##############################################
SB:en:itrade:Open options trading account online | Scotia iTRADE®:page top CTA:Open an account,23,21,19
SB:en:itrade:Open options trading account online | Scotia iTRADE®:nav-btn:Investments,12,12,12
SB:en:itrade:Open options trading account online | Scotia iTRADE®:nav-btn:Accounts,13,9,9
SB:en:itrade:Open options trading account online | Scotia iTRADE®:nav-btn:Pricing,7,7,7
SB:en:itrade:Open options trading account online | Scotia iTRADE®:nav-btn:About,6,4,4
SB:en:itrade:Open options trading account online | Scotia iTRADE®:page bottom CTA:Open an account,4,4,4
SB:en:itrade:Open options trading account online | Scotia iTRADE®:page top CTA:Sign in,3,3,3
SB:en:itrade:Open options trading account online | Scotia iTRADE®:nav-btn:Education,3,3,3
SB:en:itrade:Open options trading account online | Scotia iTRADE®:footer:footer-link-contact-us,1,1,1


##############################################
# Buy Stocks from Equity Market -  CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),96,64,64
SB:en:itrade:Buy stocks from equity market - open an account today | Scotia iTRADE®:nav-btn:Investm,24,19,19
SB:en:itrade:Buy stocks from equity market - open an account today | Scotia iTRADE®:nav-btn:Account,20,17,17
